Level,AdventurerType,MaxCount
1,Swordsman,1581
1,Swordsman,5096
1,Swordsman,6769
1,Swordsman,15392
2,Swordsman,17538
1,Swordsman,17849
1,Swordsman,18011
1,Swordsman,18677
2,Swordsman,27209
2,Swordsman,32671
2,Swordsman,43342
2,Swordsman,43512
2,Swordsman,56412
0,Swordsman,0
3,Swordsman,0
1,Swordsman,67055
0,Swordsman,0
3,Swordsman,0
0,Swordsman,0
3,Swordsman,0
2,Swordsman,71247
1,Swordsman,12432
1,Swordsman,12940
0,Swordsman,0
3,Swordsman,0
1,Swordsman,21300
1,Swordsman,6878
2,Swordsman,21370
0,Swordsman,0
3,Swordsman,0
1,Swordsman,5149
2,Swordsman,33931
2,Swordsman,105215
2,Swordsman,24278
0,Swordsman,0
3,Swordsman,0
2,Swordsman,50334
2,Swordsman,18433
1,Swordsman,5428

