Level,AdventurerType,MaxCount
1,Brawler,494
1,Brawler,1047
1,Brawler,1453
2,Brawler,8829
1,Brawler,9190
3,Brawler,10534
1,Brawler,11785
1,Brawler,12378
1,Brawler,14560
2,Brawler,15548
2,Brawler,18060
2,Brawler,19795
2,Brawler,19863
2,Brawler,20417
1,Brawler,20776
1,Brawler,20776
2,Brawler,21139
2,Brawler,21762
3,Brawler,22181
3,Brawler,26814
2,Brawler,27576
3,Brawler,30327
3,Brawler,35099
4,Brawler,36723
3,Brawler,41009
3,Brawler,46389
4,Brawler,46389
4,Brawler,51863
3,Brawler,56164
3,Brawler,58369
4,Brawler,63547
4,Brawler,76626
5,Brawler,77339
0,Brawler,0
4,Brawler,79677
1,Brawler,378
4,Brawler,2328
2,Brawler,3054
4,Brawler,3964
4,Brawler,4257
3,Brawler,7926
5,Brawler,18269
0,Brawler,0
5,Brawler,19783
0,Brawler,0
1,Brawler,2840
2,Brawler,4660
4,Brawler,31775
3,Brawler,15190

